word,ipa,prediction
animosas,a n i ˈm o s a s,a n i ˈm o s a s
cromatográficos,k ɾ o m a t o ˈɡ ɾ a f i k o s,k ɾ o m a t o ˈɡ ɾ a f i k o s
conecte,k o ˈn e ɡ t e,k o ˈn e ɡ t e
inaudible,i n a u ˈd i b l e,i n a u ˈd i b l e
mironeo,m i ɾ o ˈn e o,m i ɾ o ˈn e o
superares,s u p e ˈɾ a ɾ e s,s u p e ˈɾ a ɾ e s
Pegaso,p e ˈɡ a s o,p e ˈɡ a s o
escudriñadores,e s k u d ɾ i ɲ a ˈd o ɾ e s,e s k u d ɾ i ɲ a ˈd o ɾ e s
abnegamos,a b n e ˈɡ a m o s,a b n e ˈɡ a m o s
valentona,b a l e n ˈt o n a,b a l e n ˈt o n a
prístinas,ˈp ɾ i s t i n a s,ˈp ɾ i s t i n a s
ejemplo,e ˈx e m p l o,e ˈx e m p l o
desordenar,d e s o ɾ d e ˈn a ɾ,d e s o ɾ d e ˈn a ɾ
pavonearse,p a b o n e ˈa ɾ s e,p a b o n e ˈa ɾ s e
hasta,ˈa s t a,ˈa s t a
germanísticos,x e ɾ m a ˈn i s t i k o s,x e ɾ m a ˈn i s t i k o s
enemistar,e n e m i s ˈt a ɾ,e n e m i s ˈt a ɾ
trofoblasto,t ɾ o f o ˈb l a s t o,t ɾ o f o ˈb l a s t o
regalada,r e ɡ a ˈl a d a,r e ɡ a ˈl a d a
patovica,p a t o ˈb i k a,p a t o ˈb i k a
Lisandro,l i ˈs a n d ɾ o,l i ˈs a n d ɾ o
jeringadas,x e ɾ i n ˈɡ a d a s,x e ɾ i n ˈɡ a d a s
afectaste,a f e ɡ ˈt a s t e,a f e ɡ ˈt a s t e
arlequinado,a ɾ l e k i ˈn a d o,a ɾ l e k i ˈn a d o
seríamos,s e ˈɾ i a m o s,s e ˈɾ i a m o s
islandeses,i s l a n ˈd e s e s,i s l a n ˈd e s e s
oviraptorosaurio,o b i ɾ a b t o ɾ o ˈs a u ɾ j o,o b i ɾ a b t o ɾ o ˈs a u ɾ j o
abrupto,a ˈb ɾ u b t o,a ˈb ɾ u b t o
trianguladas,t ɾ j a n ɡ u ˈl a d a s,t ɾ j a n ɡ u ˈl a d a s
transcurrido,t ɾ a n s k u ˈr i d o,t ɾ a n s k u ˈr i d o
dríade,ˈd ɾ i a d e,ˈd ɾ i a d e
envión,e m ˈb j o n,e m ˈb j o n
amén,a ˈm e n,a ˈm e n
camarín,k a m a ˈɾ i n,k a m a ˈɾ i n
mara,ˈm a ɾ a,ˈm a ɾ a
abjurando,a b x u ˈɾ a n d o,a b x u ˈɾ a n d o
carroñero,k a r o ˈɲ e ɾ o,k a r o ˈɲ e ɾ o
eufemísticas,e u f e ˈm i s t i k a s,e u f e ˈm i s t i k a s
laudo,ˈl a u d o,ˈl a u d o
semblar,s e m ˈb l a ɾ,s e m ˈb l a ɾ
incautadas,i n k a u ˈt a d a s,i n k a u ˈt a d a s
pacará,p a k a ˈɾ a,p a k a ˈɾ a
falafel,f a l a ˈf e l,f a l a ˈf e l
acunados,a k u ˈn a d o s,a k u ˈn a d o s
cosido,k o ˈs i d o,k o ˈs i d o
poderío,p o d e ˈɾ i o,p o d e ˈɾ i o
pornificar,p o ɾ n i f i ˈk a ɾ,p o ɾ n i f i ˈk a ɾ
Tarso,ˈt a ɾ s o,ˈt a ɾ s o
Merino,m e ˈɾ i n o,m e ˈɾ i n o
usuluteca,u s u l u ˈt e k a,u s u l u ˈt e k a
campar,k a m ˈp a ɾ,k a m ˈp a ɾ
Inesita,i n e ˈs i t a,i n e ˈs i t a
afroestadounidenses,a f ɾ o e s t a d o u n i ˈd e n s e s,a f ɾ o e s t a d o u n i ˈd e n s e s
barriera,b a ˈr j e ɾ a,b a ˈr j e ɾ a
contento,k o n ˈt e n t o,k o n ˈt e n t o
glicosídico,ɡ l i k o ˈs i d i k o,ɡ l i k o ˈs i d i k o
utrera,u ˈt ɾ e ɾ a,u ˈt ɾ e ɾ a
aojada,a o ˈx a d a,a o ˈx a d a
admire,a d ˈm i ɾ e,a d ˈm i ɾ e
acuanautas,a k w a ˈn a u t a s,a k w a ˈn a u t a s
embrujada,e m b ɾ u ˈx a d a,e m b ɾ u ˈx a d a
listado,l i s ˈt a d o,l i s ˈt a d o
lacaya,l a ˈk a ʝ a,l a ˈk a ʝ a
dañados,d a ˈɲ a d o s,d a ˈɲ a d o s
titiladas,t i t i ˈl a d a s,t i t i ˈl a d a s
terral,t e ˈr a l,t e ˈr a l
carteadas,k a ɾ t e ˈa d a s,k a ɾ t e ˈa d a s
Remigio,r e ˈm i x j o,r e ˈm i x j o
mandril,m a n ˈd ɾ i l,m a n ˈd ɾ i l
cuatribanda,k w a t ɾ i ˈb a n d a,k w a t ɾ i ˈb a n d a
muerteabas,m w e ɾ t e ˈa b a s,m w e ɾ t e ˈa b a s
llevar,ʝ e ˈb a ɾ,ʝ e ˈb a ɾ
linkbuilding,l i n ɡ ˈb i l d i n,l i n ɡ ˈb i l d i n
incorpóreos,i n k o ɾ ˈp o ɾ e o s,i n k o ɾ ˈp o ɾ e o s
titiriteadlo,t i t i ɾ i t e ˈa d l o,t i t i ɾ i t e ˈa d l o
malentendida,m a l e n t e n ˈd i d a,m a l e n t e n ˈd i d a
lúbrico,ˈl u b ɾ i k o,ˈl u b ɾ i k o
carlinga,k a ɾ ˈl i n ɡ a,k a ɾ ˈl i n ɡ a
constatable,k o n s t a ˈt a b l e,k o n s t a ˈt a b l e
leído,l e ˈi d o,l e ˈi d o
edentado,e d e n ˈt a d o,e d e n ˈt a d o
baremado,b a ɾ e ˈm a d o,b a ɾ e ˈm a d o
perpetrador,p e ɾ p e t ɾ a ˈd o ɾ,p e ɾ p e t ɾ a ˈd o ɾ
consellera,k o n s e ˈʝ e ɾ a,k o n s e ˈʝ e ɾ a
nosología,n o s o l o ˈx i a,n o s o l o ˈx i a
afectaras,a f e ɡ ˈt a ɾ a s,a f e ɡ ˈt a ɾ a s
acatados,a k a ˈt a d o s,a k a ˈt a d o s
banqueteadas,b a n k e t e ˈa d a s,b a n k e t e ˈa d a s
arbusto,a ɾ ˈb u s t o,a ɾ ˈb u s t o
inventes,i m ˈb e n t e s,i m ˈb e n t e s
legitimando,l e x i t i ˈm a n d o,l e x i t i ˈm a n d o
empatada,e m p a ˈt a d a,e m p a ˈt a d a
quimioterápico,k i m j o t e ˈɾ a p i k o,k i m j o t e ˈɾ a p i k o
aviando,a ˈb j a n d o,a ˈb j a n d o
forradito,f o r a ˈd i t o,f o r a ˈd i t o
profanidad,p ɾ o f a n i ˈd a d,p ɾ o f a n i ˈd a d
ludido,l u ˈd i d o,l u ˈd i d o
supracondílea,s u p ɾ a k o n ˈd i l e a,s u p ɾ a k o n ˈd i l e a
locutivo,l o k u ˈt i b o,l o k u ˈt i b o
torturadas,t o ɾ t u ˈɾ a d a s,t o ɾ t u ˈɾ a d a s
muerte,ˈm w e ɾ t e,ˈm w e ɾ t e
engelamiento,e n x e l a ˈm j e n t o,e n x e l a ˈm j e n t o
paniaguado,p a n j a ˈɡ w a d o,p a n j a ˈɡ w a d o
palindrómico,p a l i n ˈd ɾ o m i k o,p a l i n ˈd ɾ o m i k o
charquito,t͡ʃ a ɾ ˈk i t o,t͡ʃ a ɾ ˈk i t o
temerá,t e m e ˈɾ a,t e m e ˈɾ a
hablaste,a ˈb l a s t e,a ˈb l a s t e
gantés,ɡ a n ˈt e s,ɡ a n ˈt e s
cloroalquino,k l o ɾ o a l ˈk i n o,k l o ɾ o a l ˈk i n o
quitadas,k i ˈt a d a s,k i ˈt a d a s
espíritu,e s ˈp i ɾ i t u,e s ˈp i ɾ i t u
yuracaré,ʝ u ɾ a k a ˈɾ e,ʝ u ɾ a k a ˈɾ e
hemorragia,e m o ˈr a x j a,e m o ˈr a x j a
fiques,ˈf i k e s,ˈf i k e s
avíape,a ˈb i a p e,a ˈb i a p e
consejera,k o n s e ˈx e ɾ a,k o n s e ˈx e ɾ a
santeros,s a n ˈt e ɾ o s,s a n ˈt e ɾ o s
glosásemos,ɡ l o ˈs a s e m o s,ɡ l o ˈs a s e m o s
bestseller,b e s t ˈs e l e ɾ,b e s t ˈs e l e ɾ
nefríticos,n e ˈf ɾ i t i k o s,n e ˈf ɾ i t i k o s
erosionable,e ɾ o s j o ˈn a b l e,e ɾ o s j o ˈn a b l e
dominiquesa,d o m i n i ˈk e s a,d o m i n i ˈk e s a
descarboxiladas,d e s k a ɾ b o ɡ s i ˈl a d a s,d e s k a ɾ b o ɡ s i ˈl a d a s
anfipática,a n f i ˈp a t i k a,a n f i ˈp a t i k a
neoyorquino,n e o ʝ o ɾ ˈk i n o,n e o ʝ o ɾ ˈk i n o
fenomenológica,f e n o m e n o ˈl o x i k a,f e n o m e n o ˈl o x i k a
alienante,a l j e ˈn a n t e,a l j e ˈn a n t e
colegida,k o l e ˈx i d a,k o l e ˈx i d a
tenías,t e ˈn i a s,t e ˈn i a s
condene,k o n ˈd e n e,k o n ˈd e n e
habiéndoos,a ˈb j e n d o o s,a ˈb j e n d o o s
mortificado,m o ɾ t i f i ˈk a d o,m o ɾ t i f i ˈk a d o
sondeados,s o n d e ˈa d o s,s o n d e ˈa d o s
globalismos,ɡ l o b a ˈl i s m o s,ɡ l o b a ˈl i s m o s
Radulescu,r a d u ˈl e s k u,r a d u ˈl e s k u
rictus,ˈr i ɡ t u s,ˈr i ɡ t u s
tirrena,t i ˈr e n a,t i ˈr e n a
Salaverria,s a l a ˈb e r j a,s a l a ˈb e r j a
reprogramados,r e p ɾ o ɡ ɾ a ˈm a d o s,r e p ɾ o ɡ ɾ a ˈm a d o s
odontológicas,o d o n t o ˈl o x i k a s,o d o n t o ˈl o x i k a s
nativos,n a ˈt i b o s,n a ˈt i b o s
travestidos,t ɾ a b e s ˈt i d o s,t ɾ a b e s ˈt i d o s
planeada,p l a n e ˈa d a,p l a n e ˈa d a
esteparia,e s t e ˈp a ɾ j a,e s t e ˈp a ɾ j a
junte,ˈx u n t e,ˈx u n t e
asperjados,a s p e ɾ ˈx a d o s,a s p e ɾ ˈx a d o s
fagosoma,f a ɡ o ˈs o m a,f a ɡ o ˈs o m a
soros,ˈs o ɾ o s,ˈs o ɾ o s
pésimo,ˈp e s i m o,ˈp e s i m o
desbaratadas,d e s b a ɾ a ˈt a d a s,d e s b a ɾ a ˈt a d a s
acompañada,a k o m p a ˈɲ a d a,a k o m p a ˈɲ a d a
respuesta,r e s ˈp w e s t a,r e s ˈp w e s t a
quisiste,k i ˈs i s t e,k i ˈs i s t e
rebuscado,r e b u s ˈk a d o,r e b u s ˈk a d o
complicadas,k o m p l i ˈk a d a s,k o m p l i ˈk a d a s
disgustado,d i s ɡ u s ˈt a d o,d i s ɡ u s ˈt a d o
deludir,d e l u ˈd i ɾ,d e l u ˈd i ɾ
hablándoles,a ˈb l a n d o l e s,a ˈb l a n d o l e s
modificativas,m o d i f i k a ˈt i b a s,m o d i f i k a ˈt i b a s
tañedora,t a ɲ e ˈd o ɾ a,t a ɲ e ˈd o ɾ a
vendimiados,b e n d i ˈm j a d o s,b e n d i ˈm j a d o s
destacados,d e s t a ˈk a d o s,d e s t a ˈk a d o s
ñera,ˈɲ e ɾ a,ˈɲ e ɾ a
animada,a n i ˈm a d a,a n i ˈm a d a
evitar,e b i ˈt a ɾ,e b i ˈt a ɾ
cochambre,k o ˈt͡ʃ a m b ɾ e,k o ˈt͡ʃ a m b ɾ e
Carbajal,k a ɾ b a ˈx a l,k a ɾ b a ˈx a l
naturalidad,n a t u ɾ a l i ˈd a d,n a t u ɾ a l i ˈd a d
fitomorfa,f i t o ˈm o ɾ f a,f i t o ˈm o ɾ f a
encharcado,e n t͡ʃ a ɾ ˈk a d o,e n t͡ʃ a ɾ ˈk a d o
árbol,ˈa ɾ b o l,ˈa ɾ b o l
narval,n a ɾ ˈb a l,n a ɾ ˈb a l
seamos,s e ˈa m o s,s e ˈa m o s
ricos,ˈr i k o s,ˈr i k o s
aplicable,a p l i ˈk a b l e,a p l i ˈk a b l e
algometría,a l ɡ o m e ˈt ɾ i a,a l ɡ o m e ˈt ɾ i a
argüiríais,a ɾ ɡ w i ˈɾ i a i s,a ɾ ɡ w i ˈɾ i a i s
hiperpotasemias,i p e ɾ p o t a ˈs e m j a s,i p e ɾ p o t a ˈs e m j a s
abreviadas,a b ɾ e ˈb j a d a s,a b ɾ e ˈb j a d a s
carpetana,k a ɾ p e ˈt a n a,k a ɾ p e ˈt a n a
vagues,ˈb a ɡ e s,ˈb a ɡ e s
vallada,b a ˈʝ a d a,b a ˈʝ a d a
expresados,e ɡ s p ɾ e ˈs a d o s,e ɡ s p ɾ e ˈs a d o s
consenso,k o n ˈs e n s o,k o n ˈs e n s o
mefistofélico,m e f i s t o ˈf e l i k o,m e f i s t o ˈf e l i k o
tartamudeada,t a ɾ t a m u d e ˈa d a,t a ɾ t a m u d e ˈa d a
rotular,r o t u ˈl a ɾ,r o t u ˈl a ɾ
chisporroteado,t͡ʃ i s p o r o t e ˈa d o,t͡ʃ i s p o r o t e ˈa d o
gerontología,x e ɾ o n t o l o ˈx i a,x e ɾ o n t o l o ˈx i a
nefarias,n e ˈf a ɾ j a s,n e ˈf a ɾ j a s
arromo,a ˈr o m o,a ˈr o m o
fastidiosas,f a s t i ˈd j o s a s,f a s t i ˈd j o s a s
anacarado,a n a k a ˈɾ a d o,a n a k a ˈɾ a d o
unir,u ˈn i ɾ,u ˈn i ɾ
prometida,p ɾ o m e ˈt i d a,p ɾ o m e ˈt i d a
develado,d e b e ˈl a d o,d e b e ˈl a d o
desprendida,d e s p ɾ e n ˈd i d a,d e s p ɾ e n ˈd i d a
antiindustrial,a n t i i n d u s ˈt ɾ j a l,a n t i i n d u s ˈt ɾ j a l
adiabático,a d j a ˈb a t i k o,a d j a ˈb a t i k o
mediodía,m e d j o ˈd i a,m e d j o ˈd i a
medallita,m e d a ˈʝ i t a,m e d a ˈʝ i t a
aditividad,a d i t i b i ˈd a d,a d i t i b i ˈd a d
aniquilar,a n i k i ˈl a ɾ,a n i k i ˈl a ɾ
pterodactiloide,t e ɾ o d a ɡ t i ˈl o i d e,t e ɾ o d a ɡ t i ˈl o i d e
desayunada,d e s a ʝ u ˈn a d a,d e s a ʝ u ˈn a d a
pelirrojo,p e l i ˈr o x o,p e l i ˈr o x o
Montellano,m o n t e ˈʝ a n o,m o n t e ˈʝ a n o
empoderante,e m p o d e ˈɾ a n t e,e m p o d e ˈɾ a n t e
rehusados,r e u ˈs a d o s,r e u ˈs a d o s
menoscabadas,m e n o s k a ˈb a d a s,m e n o s k a ˈb a d a s
recua,ˈr e k w a,ˈr e k w a
derretida,d e r e ˈt i d a,d e r e ˈt i d a
trasparentadas,t ɾ a s p a ɾ e n ˈt a d a s,t ɾ a s p a ɾ e n ˈt a d a s
desintegrativos,d e s i n t e ɡ ɾ a ˈt i b o s,d e s i n t e ɡ ɾ a ˈt i b o s
silfo,ˈs i l f o,ˈs i l f o
tamboril,t a m b o ˈɾ i l,t a m b o ˈɾ i l
escoltada,e s k o l ˈt a d a,e s k o l ˈt a d a
despeinado,d e s p e i ˈn a d o,d e s p e i ˈn a d o
implementadas,i m p l e m e n ˈt a d a s,i m p l e m e n ˈt a d a s
igualadas,i ɡ w a ˈl a d a s,i ɡ w a ˈl a d a s
filfa,ˈf i l f a,ˈf i l f a
polisintéticos,p o l i s i n ˈt e t i k o s,p o l i s i n ˈt e t i k o s
desbandá,d e s b a n ˈd a,d e s b a n ˈd a
proamericanas,p ɾ o a m e ɾ i ˈk a n a s,p ɾ o a m e ɾ i ˈk a n a s
Turín,t u ˈɾ i n,t u ˈɾ i n
resguardo,r e s ˈɡ w a ɾ d o,r e s ˈɡ w a ɾ d o
martinelli,m a ɾ t i ˈn e l i,m a ɾ t i ˈn e l i
horado,o ˈɾ a d o,o ˈɾ a d o
fútil,ˈf u t i l,ˈf u t i l
lamelar,l a m e ˈl a ɾ,l a m e ˈl a ɾ
fincares,f i n ˈk a ɾ e s,f i n ˈk a ɾ e s
abogades,a b o ˈɡ a d e s,a b o ˈɡ a d e s
aerocubierta,a e ɾ o k u ˈb j e ɾ t a,a e ɾ o k u ˈb j e ɾ t a
equilibrador,e k i l i b ɾ a ˈd o ɾ,e k i l i b ɾ a ˈd o ɾ
gotita,ɡ o ˈt i t a,ɡ o ˈt i t a
sobrepeso,s o b ɾ e ˈp e s o,s o b ɾ e ˈp e s o
desgana,d e s ˈɡ a n a,d e s ˈɡ a n a
sensibilidad,s e n s i b i l i ˈd a d,s e n s i b i l i ˈd a d
desamparar,d e s a m p a ˈɾ a ɾ,d e s a m p a ˈɾ a ɾ
íncola,ˈi n k o l a,ˈi n k o l a
comarca,k o ˈm a ɾ k a,k o ˈm a ɾ k a
tansé,t a n ˈs e,t a n ˈs e
cadaverina,k a d a b e ˈɾ i n a,k a d a b e ˈɾ i n a
banco,ˈb a n k o,ˈb a n k o
psicoactivo,s i k o a ɡ ˈt i b o,s i k o a ɡ ˈt i b o
deslustrar,d e s l u s ˈt ɾ a ɾ,d e s l u s ˈt ɾ a ɾ
manométricas,m a n o ˈm e t ɾ i k a s,m a n o ˈm e t ɾ i k a s
depurando,d e p u ˈɾ a n d o,d e p u ˈɾ a n d o
espingarda,e s p i n ˈɡ a ɾ d a,e s p i n ˈɡ a ɾ d a
tópico,ˈt o p i k o,ˈt o p i k o
resfriamos,r e s ˈf ɾ j a m o s,r e s ˈf ɾ j a m o s
miasma,ˈm j a s m a,ˈm j a s m a
adestrará,a d e s t ɾ a ˈɾ a,a d e s t ɾ a ˈɾ a
ininteligibilidad,i n i n t e l i x i b i l i ˈd a d,i n i n t e l i x i b i l i ˈd a d
diosa,ˈd j o s a,ˈd j o s a
solarás,s o l a ˈɾ a s,s o l a ˈɾ a s
acabás,a k a ˈb a s,a k a ˈb a s
chapoteados,t͡ʃ a p o t e ˈa d o s,t͡ʃ a p o t e ˈa d o s
hablémoslos,a ˈb l e m o s l o s,a ˈb l e m o s l o s
gravísimas,ɡ ɾ a ˈb i s i m a s,ɡ ɾ a ˈb i s i m a s
jarana,x a ˈɾ a n a,x a ˈɾ a n a
butacón,b u t a ˈk o n,b u t a ˈk o n
dijeren,d i ˈx e ɾ e n,d i ˈx e ɾ e n
pentavalente,p e n t a b a ˈl e n t e,p e n t a b a ˈl e n t e
portadas,p o ɾ ˈt a d a s,p o ɾ ˈt a d a s
ser,ˈs e ɾ,ˈs e ɾ
sustantiva,s u s t a n ˈt i b a,s u s t a n ˈt i b a
baldado,b a l ˈd a d o,b a l ˈd a d o
cutrona,k u ˈt ɾ o n a,k u ˈt ɾ o n a
acontentar,a k o n t e n ˈt a ɾ,a k o n t e n ˈt a ɾ
workshop,ˈw o ɾ ɡ ʃ o p,ˈw o ɾ ɡ ʃ o p
degradada,d e ɡ ɾ a ˈd a d a,d e ɡ ɾ a ˈd a d a
conservadorismo,k o n s e ɾ b a d o ˈɾ i s m o,k o n s e ɾ b a d o ˈɾ i s m o
Aruba,a ˈɾ u b a,a ˈɾ u b a
impactada,i m p a ɡ ˈt a d a,i m p a ɡ ˈt a d a
sagrado,s a ˈɡ ɾ a d o,s a ˈɡ ɾ a d o
ganjifa,ɡ a n ˈx i f a,ɡ a n ˈx i f a
tristura,t ɾ i s ˈt u ɾ a,t ɾ i s ˈt u ɾ a
disfemia,d i s ˈf e m j a,d i s ˈf e m j a
antenal,a n t e ˈn a l,a n t e ˈn a l
anden,ˈa n d e n,ˈa n d e n
polonesas,p o l o ˈn e s a s,p o l o ˈn e s a s
genuino,x e ˈn w i n o,x e ˈn w i n o
significamos,s i ɡ n i f i ˈk a m o s,s i ɡ n i f i ˈk a m o s
personalmente,p e ɾ ˌs o n a l ˈm e n t e,p e ɾ ˌs o n a l ˈm e n t e
menudeados,m e n u d e ˈa d o s,m e n u d e ˈa d o s
guíes,ˈɡ i e s,ˈɡ i e s
dieron,ˈd j e ɾ o n,ˈd j e ɾ o n
tuiteados,t w i t e ˈa d o s,t w i t e ˈa d o s
guijarro,ɡ i ˈx a r o,ɡ i ˈx a r o
caros,ˈk a ɾ o s,ˈk a ɾ o s
mitin,ˈm i t i n,ˈm i t i n
alfaque,a l ˈf a k e,a l ˈf a k e
metonimia,m e t o ˈn i m j a,m e t o ˈn i m j a
bisemanal,b i s e m a ˈn a l,b i s e m a ˈn a l
despeñados,d e s p e ˈɲ a d o s,d e s p e ˈɲ a d o s
ventilada,b e n t i ˈl a d a,b e n t i ˈl a d a
sincopar,s i n k o ˈp a ɾ,s i n k o ˈp a ɾ
bucólico,b u ˈk o l i k o,b u ˈk o l i k o
garrapiñado,ɡ a r a p i ˈɲ a d o,ɡ a r a p i ˈɲ a d o
percute,p e ɾ ˈk u t e,p e ɾ ˈk u t e
sustentar,s u s t e n ˈt a ɾ,s u s t e n ˈt a ɾ
aventada,a b e n ˈt a d a,a b e n ˈt a d a
matoneadas,m a t o n e ˈa d a s,m a t o n e ˈa d a s
congelar,k o n x e ˈl a ɾ,k o n x e ˈl a ɾ
Gamba,ˈɡ a m b a,ˈɡ a m b a
xerofítico,s e ɾ o ˈf i t i k o,s e ɾ o ˈf i t i k o
incrementada,i n k ɾ e m e n ˈt a d a,i n k ɾ e m e n ˈt a d a
peraltadas,p e ɾ a l ˈt a d a s,p e ɾ a l ˈt a d a s
desencabestrado,d e s e n k a b e s ˈt ɾ a d o,d e s e n k a b e s ˈt ɾ a d o
bailotear,b a i l o t e ˈa ɾ,b a i l o t e ˈa ɾ
comámosles,k o ˈm a m o s l e s,k o ˈm a m o s l e s
meloso,m e ˈl o s o,m e ˈl o s o
coexistidos,k o e ɡ s i s ˈt i d o s,k o e ɡ s i s ˈt i d o s
santaneco,s a n t a ˈn e k o,s a n t a ˈn e k o
demente,d e ˈm e n t e,d e ˈm e n t e
pulsado,p u l ˈs a d o,p u l ˈs a d o
proveídos,p ɾ o b e ˈi d o s,p ɾ o b e ˈi d o s
enganchadas,e n ɡ a n ˈt͡ʃ a d a s,e n ɡ a n ˈt͡ʃ a d a s
sufragados,s u f ɾ a ˈɡ a d o s,s u f ɾ a ˈɡ a d o s
rastrojo,r a s ˈt ɾ o x o,r a s ˈt ɾ o x o
impracticabilidad,i m p ɾ a ɡ t i k a b i l i ˈd a d,i m p ɾ a ɡ t i k a b i l i ˈd a d
gravitada,ɡ ɾ a b i ˈt a d a,ɡ ɾ a b i ˈt a d a
cuadril,k w a ˈd ɾ i l,k w a ˈd ɾ i l
sobrevaluado,s o b ɾ e b a ˈl w a d o,s o b ɾ e b a ˈl w a d o
machadiana,m a t͡ʃ a ˈd j a n a,m a t͡ʃ a ˈd j a n a
alcana,a l ˈk a n a,a l ˈk a n a
humanas,u ˈm a n a s,u ˈm a n a s
deliradas,d e l i ˈɾ a d a s,d e l i ˈɾ a d a s
lechuguero,l e t͡ʃ u ˈɡ e ɾ o,l e t͡ʃ u ˈɡ e ɾ o
diminutos,d i m i ˈn u t o s,d i m i ˈn u t o s
neofobia,n e o ˈf o b j a,n e o ˈf o b j a
sí,ˈs i,ˈs i
estambulita,e s t a m b u ˈl i t a,e s t a m b u ˈl i t a
derribo,d e ˈr i b o,d e ˈr i b o
cocodrila,k o k o ˈd ɾ i l a,k o k o ˈd ɾ i l a
posdoctoral,p o s d o ɡ t o ˈɾ a l,p o s d o ɡ t o ˈɾ a l
marinado,m a ɾ i ˈn a d o,m a ɾ i ˈn a d o
guasón,ɡ w a ˈs o n,ɡ w a ˈs o n
serigrafiado,s e ɾ i ɡ ɾ a ˈf j a d o,s e ɾ i ɡ ɾ a ˈf j a d o
bloguear,b l o ɡ e ˈa ɾ,b l o ɡ e ˈa ɾ
yodurar,ʝ o d u ˈɾ a ɾ,ʝ o d u ˈɾ a ɾ
odre,ˈo d ɾ e,ˈo d ɾ e
siamesas,s j a ˈm e s a s,s j a ˈm e s a s
fantasmagóricos,f a n t a s m a ˈɡ o ɾ i k o s,f a n t a s m a ˈɡ o ɾ i k o s
ojeado,o x e ˈa d o,o x e ˈa d o
amurallada,a m u ɾ a ˈʝ a d a,a m u ɾ a ˈʝ a d a
frustres,ˈf ɾ u s t ɾ e s,ˈf ɾ u s t ɾ e s
autoaislarse,a u t o a i s ˈl a ɾ s e,a u t o a i s ˈl a ɾ s e
hoyoso,o ˈʝ o s o,o ˈʝ o s o
cromosoma,k ɾ o m o ˈs o m a,k ɾ o m o ˈs o m a
arramblados,a r a m ˈb l a d o s,a r a m ˈb l a d o s
trascrita,t ɾ a s ˈk ɾ i t a,t ɾ a s ˈk ɾ i t a
amarteladas,a m a ɾ t e ˈl a d a s,a m a ɾ t e ˈl a d a s
jocosamente,x o ˌk o s a ˈm e n t e,x o ˌk o s a ˈm e n t e
incoar,i n k o ˈa ɾ,i n k o ˈa ɾ
moribunda,m o ɾ i ˈb u n d a,m o ɾ i ˈb u n d a
auditivos,a u d i ˈt i b o s,a u d i ˈt i b o s
cabás,k a ˈb a s,k a ˈb a s
sapa,ˈs a p a,ˈs a p a
genitales,x e n i ˈt a l e s,x e n i ˈt a l e s
apachurrada,a p a t͡ʃ u ˈr a d a,a p a t͡ʃ u ˈr a d a
sindical,s i n d i ˈk a l,s i n d i ˈk a l
apenaréis,a p e n a ˈɾ e i s,a p e n a ˈɾ e i s
sextina,s e s ˈt i n a,s e s ˈt i n a
raigrás,r a i ˈɡ ɾ a s,r a i ˈɡ ɾ a s
subependimomas,s u b e p e n d i ˈm o m a s,s u b e p e n d i ˈm o m a s
deltana,d e l ˈt a n a,d e l ˈt a n a
contraatacar,k o n t ɾ a a t a ˈk a ɾ,k o n t ɾ a a t a ˈk a ɾ
novelístico,n o b e ˈl i s t i k o,n o b e ˈl i s t i k o
urbano,u ɾ ˈb a n o,u ɾ ˈb a n o
pluralidades,p l u ɾ a l i ˈd a d e s,p l u ɾ a l i ˈd a d e s
cabe,ˈk a b e,ˈk a b e
maracuyá,m a ɾ a k u ˈʝ a,m a ɾ a k u ˈʝ a
enfriadero,e n f ɾ j a ˈd e ɾ o,e n f ɾ j a ˈd e ɾ o
sudadas,s u ˈd a d a s,s u ˈd a d a s
audión,a u ˈd j o n,a u ˈd j o n
avarienta,a b a ˈɾ j e n t a,a b a ˈɾ j e n t a
recontadas,r e k o n ˈt a d a s,r e k o n ˈt a d a s
multidispositivo,m u l t i d i s p o s i ˈt i b o,m u l t i d i s p o s i ˈt i b o
aleteadas,a l e t e ˈa d a s,a l e t e ˈa d a s
pelillo,p e ˈl i ʝ o,p e ˈl i ʝ o
panhelénico,p a n e ˈl e n i k o,p a n e ˈl e n i k o
achacoso,a t͡ʃ a ˈk o s o,a t͡ʃ a ˈk o s o
medianil,m e d j a ˈn i l,m e d j a ˈn i l
chapó,t͡ʃ a ˈp o,t͡ʃ a ˈp o
catecúmena,k a t e ˈk u m e n a,k a t e ˈk u m e n a
impala,i m ˈp a l a,i m ˈp a l a
nítidas,ˈn i t i d a s,ˈn i t i d a s
gasas,ˈɡ a s a s,ˈɡ a s a s
ovejera,o b e ˈx e ɾ a,o b e ˈx e ɾ a
amnésica,a m ˈn e s i k a,a m ˈn e s i k a
güiña,ˈɡ w i ɲ a,ˈɡ w i ɲ a
chistorra,t͡ʃ i s ˈt o r a,t͡ʃ i s ˈt o r a
retractados,r e t ɾ a ɡ ˈt a d o s,r e t ɾ a ɡ ˈt a d o s
patriótico,p a ˈt ɾ j o t i k o,p a ˈt ɾ j o t i k o
banfileños,b a n f i ˈl e ɲ o s,b a n f i ˈl e ɲ o s
estaré,e s t a ˈɾ e,e s t a ˈɾ e
panal,p a ˈn a l,p a ˈn a l
